2455516.445;2010 NOV 15;10.694333
2455520.053;2010 NOV 19;10.665
2455522.137;2010 NOV 21;10.669667
2455524.499;2010 NOV 23;10.7034
2455527.109;2010 NOV 26;10.673667
2455528.213;2010 NOV 27;10.678966
2455531.544;2010 DEC 1;10.672
2455532.585;2010 DEC 2;10.646333
2455540.718;2010 DEC 10;10.66475
2455541.492;2010 DEC 10;10.6675
2455543.584;2010 DEC 13;10.611
2455549.443;2010 DEC 18;10.653
2455550.464;2010 DEC 19;10.661667
2455557.588;2010 DEC 27;10.66
2455567.481;2011 JAN 5;10.593
2455577.143;2011 JAN 15;10.473
2455610.864;2011 FEB 18;10.61
2455622.904;2011 MAR 2;10.7765
2455625.386;2011 MAR 4;10.746
2455636.341;2011 MAR 15;10.8035
2455640.842;2011 MAR 20;10.837
2455647.835;2011 MAR 27;10.86
2455650.829;2011 MAR 30;10.861
2455651.858;2011 MAR 31;10.855
2455655.332;2011 APR 3;10.8445
2455660.303;2011 APR 8;10.826
2455661.408;2011 APR 9;10.8545
2455664.85;2011 APR 13;10.821
2455689.942;2011 MAY 8;10.99
2455712.585;2011 MAY 31;11.02
2455740.783;2011 JUN 28;10.566
2455745.954;2011 JUL 3;10.548667
2455756.528;2011 JUL 14;10.63
2455766.502;2011 JUL 24;10.836
2455768.05;2011 JUL 25;10.8295
2455769.499;2011 JUL 26;10.83
2455770.499;2011 JUL 27;10.834
2455776.44;2011 AUG 2;10.782
2455777.46;2011 AUG 3;10.858
2455779.584;2011 AUG 6;10.75
2455782.44;2011 AUG 8;10.8325
2455786.962;2011 AUG 13;10.755
2455798.06;2011 AUG 24;10.6475
2455798.715;2011 AUG 25;10.637
2455805.55;2011 SEP 1;10.69
2455809.435;2011 SEP 4;10.79
2455811.354;2011 SEP 6;10.82
2455813.619;2011 SEP 9;10.722
2455815.497;2011 SEP 10;10.81
2455817.046;2011 SEP 12;10.713
2455822.54;2011 SEP 18;10.683
2455826.654;2011 SEP 22;10.668
2455831.166;2011 SEP 26;10.664333
2455832.457;2011 SEP 27;10.6825
2455833.469;2011 SEP 28;10.656
2455835.41;2011 SEP 30;10.8125
2455836.864;2011 OCT 2;10.7405
2455840.365;2011 OCT 5;10.734
2455841.515;2011 OCT 7;10.671
2455843.462;2011 OCT 8;10.7115
2455844.958;2011 OCT 10;10.6685
2455846.455;2011 OCT 11;10.673
2455849.352;2011 OCT 14;10.766
2455850.449;2011 OCT 15;10.701
2455852.475;2011 OCT 17;10.6895
2455856.403;2011 OCT 21;10.727
2455858.461;2011 OCT 23;10.698
2455861.471;2011 OCT 26;10.731
2455864.31;2011 OCT 29;10.772571
2455867.975;2011 NOV 2;10.664
2455871.018;2011 NOV 5;10.655
2455873.925;2011 NOV 8;10.6435
2455875.367;2011 NOV 9;10.6845
2455878.424;2011 NOV 12;10.653
2455888.014;2011 NOV 22;10.7165
2455890.278;2011 NOV 24;10.792
2455892.293;2011 NOV 26;10.814
2455896.301;2011 NOV 30;10.843
2455904.946;2011 DEC 9;10.834
2455907.451;2011 DEC 11;10.836
2455908.453;2011 DEC 12;10.832
2455912.521;2011 DEC 17;10.838
2455916.451;2011 DEC 20;10.808
2455923.234;2011 DEC 27;10.751
2455925.458;2011 DEC 29;10.684
2455929.453;2012 JAN 2;10.631
2455938.431;2012 JAN 11;10.596
2455986.021;2012 FEB 28;10.82
2456008.64;2012 MAR 22;10.76
2456012.615;2012 MAR 26;10.75
2456019.547;2012 APR 2;10.85
2456067.728;2012 MAY 20;10.988
2456073.871;2012 MAY 26;10.965
2456095.15;2012 JUN 16;11.011
2456096.723;2012 JUN 18;10.903
2456102.632;2012 JUN 24;11.004
2456106.788;2012 JUN 28;10.919
2456109.682;2012 JUL 1;10.913
2456114.734;2012 JUL 6;11.024
2456121.755;2012 JUL 13;10.979
2456130.771;2012 JUL 22;10.889
2456141.477;2012 AUG 1;10.815
2456142.7;2012 AUG 3;10.703
2456148.474;2012 AUG 8;10.714
2456153.409;2012 AUG 13;10.6705
2456157.728;2012 AUG 18;10.553
2456160.545;2012 AUG 21;10.597857
2456164.772;2012 AUG 25;10.590667
2456167.667;2012 AUG 28;10.5245
2456169.022;2012 AUG 29;10.535
2456172.648;2012 SEP 2;10.3225
2456173.68;2012 SEP 3;10.236
2456180.158;2012 SEP 9;10.244083
2456181.752;2012 SEP 11;10.2795
2456184.637;2012 SEP 14;10.291429
2456185.639;2012 SEP 15;10.294333
2456186.649;2012 SEP 16;10.293833
2456194.548;2012 SEP 24;10.327
2456195.646;2012 SEP 25;10.25
2456206.615;2012 OCT 6;10.289
2456221.565;2012 OCT 21;10.226375
2456237.692;2012 NOV 6;10.098
2456283.473;2012 DEC 21;10.249
2456366.949;2013 MAR 15;10.857
2456367.952;2013 MAR 16;10.83
2456380.871;2013 MAR 29;10.781
2456392.873;2013 APR 10;10.913
2456398.938;2013 APR 16;11.02
2456411.904;2013 APR 29;11.139
2456422.835;2013 MAY 10;11.061
2456427.903;2013 MAY 15;10.984
2456430.899;2013 MAY 18;10.952
2456436.9;2013 MAY 24;10.89
2456445.215;2013 JUN 1;10.8725
2456447.015;2013 JUN 3;10.7755
2456453;2013 JUN 9;10.92
2456457.78;2013 JUN 14;11.013
2456478.433;2013 JUL 4;11.04
2456500.349;2013 JUL 26;10.88
2456501.349;2013 JUL 27;10.88
2456511.352;2013 AUG 6;10.91
2456520.927;2013 AUG 16;10.9125
2456527.504;2013 AUG 23;10.939
2456529.519;2013 AUG 25;10.929
2456541.488;2013 SEP 5;10.896
2456546.773;2013 SEP 11;10.807
2456550.326;2013 SEP 14;10.887
2456577.282;2013 OCT 11;10.702
2456583.489;2013 OCT 17;10.69
2456593.479;2013 OCT 27;10.67
2456605.535;2013 NOV 9;10.66
2456610.655;2013 NOV 14;10.631
2456621.701;2013 NOV 25;10.591
2456626.301;2013 NOV 29;10.73
2456634.319;2013 DEC 7;10.599
2456638.336;2013 DEC 11;10.604
2456640.51;2013 DEC 14;10.628
2456647.311;2013 DEC 20;10.627
2456651.474;2013 DEC 24;10.632
2456656.255;2013 DEC 29;10.581
2456668.301;2014 JAN 10;10.549
2456706.953;2014 FEB 18;10.56
2456709.971;2014 FEB 21;10.529
2456718.962;2014 MAR 2;10.452
2456726.951;2014 MAR 10;10.487
2456730.955;2014 MAR 14;10.544
2456737.951;2014 MAR 21;10.622
2456739.659;2014 MAR 23;10.649
2456749.877;2014 APR 2;10.757
2456762.795;2014 APR 15;10.72
2456767.609;2014 APR 20;10.723
2456783.876;2014 MAY 6;10.649
2456794.899;2014 MAY 17;10.719
2456797.9;2014 MAY 20;10.726
2456800.903;2014 MAY 23;10.722
2456806.894;2014 MAY 29;10.744
2456808.884;2014 MAY 31;10.746571
2456811.778;2014 JUN 3;10.7505
2456813.778;2014 JUN 5;10.733167
2456816.523;2014 JUN 8;10.806
2456825.89;2014 JUN 17;10.764
2456829.452;2014 JUN 20;10.769
2456854.472;2014 JUL 15;10.763
2456855.473;2014 JUL 16;10.736
2456863.471;2014 JUL 24;10.763
2456869.44;2014 JUL 30;10.784
2456870.445;2014 JUL 31;10.807
2456872.492;2014 AUG 2;10.804
2456874.452;2014 AUG 4;10.804
2456883.414;2014 AUG 13;10.877
2456887.384;2014 AUG 17;10.877
2456890.396;2014 AUG 20;10.84
2456901.377;2014 AUG 31;10.864
2456903.679;2014 SEP 3;10.881333
2456907.683;2014 SEP 7;10.883333
2456908.683;2014 SEP 8;10.883
2456912.431;2014 SEP 11;10.918
2456914.802;2014 SEP 14;10.8785
2456921.442;2014 SEP 20;10.872
2456922.617;2014 SEP 22;10.836833
2456923.63;2014 SEP 23;10.841667
2456927.641;2014 SEP 27;10.803714
2456929.052;2014 SEP 28;10.788875
2456932.433;2014 OCT 1;10.882
2456935.611;2014 OCT 5;10.80075
2456938.562;2014 OCT 8;10.695
2456942.412;2014 OCT 11;10.7587
2456943.492;2014 OCT 12;10.673
2456948.318;2014 OCT 17;10.751
2456951.559;2014 OCT 21;10.629
2456956.9;2014 OCT 26;10.681
2456961.358;2014 OCT 30;10.876
2456963.48;2014 NOV 1;10.783
2456976.467;2014 NOV 14;10.86
2456989.41;2014 NOV 27;10.6765
2456992.467;2014 NOV 30;10.67
2456995.469;2014 DEC 3;10.7
2457005.472;2014 DEC 13;10.664
2457008.468;2014 DEC 16;10.7
2457018.192;2014 DEC 26;10.934
2457023.272;2014 DEC 31;10.833
2457060.973;2015 FEB 7;10.98
2457064.967;2015 FEB 11;10.885
2457068.964;2015 FEB 15;10.882
2457084.91;2015 MAR 3;10.8
2457090.955;2015 MAR 9;10.783
2457101.943;2015 MAR 20;10.974
2457111.912;2015 MAR 30;11.07
