2457768.48178;7.073;B;SAH
2457768.5222;5.631;V;SAH
2457768.52796;3.545;R;SAH
2457768.53303;1.222;I;SAH
2457769.3063;5.572;V;VOL
2457769.3086;5.613;V;VOL
2457769.3105;5.566;V;VOL
2457769.51995;5.424;V;FRL
2457771.2649;5.267;V;VOL
2457772.243;5.145;V;VOL
2457772.2447;5.125;V;VOL
2457773.2678;4.964;V;VOL
2457775.214;4.664;V;VOL
2457775.2158;4.674;V;VOL
2457776.2134;4.548;V;VOL
2457776.2154;4.565;V;VOL
2457780.2725;4.217;V;VOL
2457780.2791;4.224;V;VOL
2457783.64739;0.462;I;SAH
2457783.64942;5.475;B;SAH
2457783.6513;4.082;V;SAH
2457783.65357;2.492;R;SAH
2457790.50926;2.166;R;SAH
2457790.51242;0.308;I;SAH
2457790.51558;4.997;B;SAH
2457790.52084;3.601;V;SAH
2457797.5062;2.021;R;SAH
2457797.50933;0.233;I;SAH
2457797.5125;3.505;V;SAH
2457797.51571;4.841;B;SAH
2457798.227;3.548;V;VOL
2457798.2288;3.469;V;VOL
2457798.2308;3.509;V;VOL
2457799.2288;3.488;V;VOL
2457799.2335;3.486;V;VOL
2457800.2291;3.459;V;VOL
2457803.3056;3.506;V;VOL
2457804.2342;3.491;V;VOL
2457807.51191;2.016;R;SAH
2457807.51503;0.187;I;SAH
2457807.51827;3.446;V;SAH
2457807.52189;4.812;B;SAH
2457810.2537;3.531;V;VOL
2457810.2559;3.485;V;VOL
2457814.2522;3.515;V;VOL
2457814.2543;3.548;V;VOL
2457821.2505;3.798;V;VOL
2457826.2685;3.75;V;VOL
2457963.88389;9.504;B;SAH
2457963.89064;2.717;I;SAH
2457963.89421;8.49;V;SAH
2457963.90026;5.28;R;SAH
2457993.78422;9.49;V;LMA
2457998.85959;9.42;V;SAH
2457998.8659;5.903;R;SAH
2457998.87169;3.211;I;SAH
2457998.88007;10.244;B;SAH
2458021.85769;9.81;V;MZK
2458022.83581;9.904;V;LMA
2458026.74578;9.773;V;SAH
2458026.7533;6.046;R;SAH
2458026.76555;10.602;B;SAH
