dumb;Keyword;Site;Name;City;Country;Longitude;Latitude
0;Latina-IT;LAT-IT;;Latina;IT;1.51;43.52
0;LEC-IT;LEC-IT;;;IT;18.06;40.2
0;miror;LEC-IT;;;IT;18.06;40.2
0;Livermore CA USA;LIV-US;;Livermore (CA);US;-121.76;67.69
0;LSO;LSO-??;;;;0.0;0.0
0;Labastide Saint Sernin;LSS-FR;;Labastide Saint Sernin;FR;1.47;43.74
0;Labastide St Sernin;LSS-FR;;Labastide Saint Sernin;FR;1.47;43.74
0;Lakeview Palms, Qld;LVP-AU;;Lake View Palms;AU;153.41;-28.08
0;Madrid_Ventilla;MAD-SP;;Madrid;SP;-2.14;37.72
0;Madrid-Ventilla;MAD-SP;;Madrid;SP;-2.14;37.72
0;MDRDVENTILLA;MAD-SP;;Madrid;SP;-2.14;37.72
0;Manhattan, IL;MAN-US;;Manhattan (IL);US;-87.93;41.46
0;Mardella;MAR-AU;;Mardella;AU;115.955.0;-32.31
0;Mardella, Western Australia;MAR-AU;;Mardella;AU;115.955.0;-32.31
0;Maubeuge;MAU-FR;;Maubeuge;FR;0.15;43.0
0;Arnprior_ON_CA;MRO-CA;;Arnprior (ON);CA;-76.44;45.4
0;Mill Ridge_ON_CA;MRO-CA;;Arnprior (ON);CA;-76.44;45.4
0;MRO-CA;MRO-CA;;Arnprior (ON);CA;-76.44;45.4
0;Mt. Pinos, Nordic Base, CA;MTP-US;;Mt. Pinos, Nordic Base, CA;UK;-119.13;34.81
0;Nieborowice, PL;NIE-PL;;Nieborowice;PL;0.0;0.0
0;OAF;OAF-FR;;;FR;7.21;47.99
0;OAF-FR;OAF-FR;;;FR;7.21;47.99
0;Oakhill, Somerset UK;OAK-UK;;Oakhill;UK;-2.52;51.22
0;OAO;OAO-FR;Observatoire Astronomique d'Osenbach;Osenbach;FR;7.22;47.99
0;Osenbach;OAO-FR;Observatoire Astronomique d'Osenbach;Osenvach;FR;7.21;47.99
0;Astroqueyras;OAQ-FR;Observatoire Astroqueyras;;FR;6.91;44.7
0;OAV;OAV-FR;;;FR;0.0;0.0
0;38420 Revel;OBE-FR;Observatoire de la Belle Etoile;Revel;FR;2.01;43.46
0;OBE-FR;OBE-FR;Observatoire de la Belle Etoile;Revel;FR;2.01;43.46
0;OCA;OCA-FR;Observatoire Calern;Calern;FR;6.93;43.75
0;OCA Calern (06);OCA-FR;Observatoire Calern;Calern;FR;6.93;43.75
0;OCT-FR;OCT-FR;;;FR;3.4;49.05
0;0HP;OHP-FR;Observatoire Haute-Provence;Saint Michel l'Observatoire;FR;5.71;43.93
0;OHP;OHP-FR;Observatoite Haute-Provence;St Michel l'Observatoire;FR;5.71;43.93
0;OHP (FR);OHP-FR;Observatoite Haute-Provence;St Michel l'Observatoire;FR;5.71;43.93
0;OHP Saint Michel l;OHP-FR;Observatoite Haute-Provence;St Michel l'Observatoire;FR;5.71;43.93
