dumb;Keyword;Object
0;uvaur_jmontier;UV Aur
0;V 443 Her;V443 Her
0;V 694 Mon;V694 Mon
0;V0335 Vul;V335 Vul
0;V0443 Her;V443 Her
0;V0471 Per;V471 Per
0;V0503 Her;V503 Her
0;V0627 Cas;V627 Cas
0;V0694 Mon;V694 Mon
0;V0919 Sgr;V919 Sgr
0;V1016 Cyg;V1016 Cyg
0;v1016 cyg;V1016 Cyg
0;V1016 CYG;V1016 Cyg
0;v1016cyg;V1016 Cyg
0;V1016Cyg;V1016 Cyg
0;V1017 Cyg;V1017 Cyg
0;V1261 Ori;V1261 Ori
0;V1261 ORI;V1261 Ori
0;v1261 ori;V1261 Ori
0;v1261ori;V1261 Ori
0;V1329 Cyg;V1329 Cyg
0;v1329 cyg;V1329 Cyg
0;V1329Cyg;V1329 Cyg
0;V1413 Aql;V1413 Aql
0;v1413aql;V1413 Aql
0;V1413Aql;V1413 Aql
0;V1413_Aql;V1413 Aql
0;V1413 AQL;V1413 Aql
0;v1413 AQL;V1413 Aql
0;V1918 Sgr;V1918 Sgr
0;V2525 oph;V2525 Oph
0;V335 Vul;V335 Vul
0;v335 Vul;V335 Vul
0;V335 VUL;V335 Vul
0;V335Vul;V335 Vul
0;V379 Peg;V379 Peg
0;V407 Cyg;V407 Cyg
0;V426 SGE;V426 Sge
0;V443 Her;V443 Her
0;V443 HER;V443 Her
0;v443 Her;V443 Her
0;v443 her;V443 Her
0;V443_Her;V443 Her
0;v443her;V443 Her
0;V443HER;V443 Her
0;V443Her;V443 Her
0;V471 Per;V471 Per
0;V471 PER;V471 Per
0;v471 Per;V471 Per
0;V471Per;V471 Per
0;V503 Her;V503 Her
0;V503Her;V503 Her
0;V562 Lyr;V562 Lyr
0;V562 LYR;V562 Lyr
0;V589 CrA;V589 CrA
0;V627 Cas;V627 Cas
0;V627 CAS;V627 Cas
0;V627Cas;V627 Cas
0;V694  Mon;V694 Mon
0;V694 Mon;V694 Mon
0;V694 MON;V694 Mon
0;v694 Mon;V694 Mon
0;V694 mon;V694 Mon
0;v694 mon;V694 Mon
0;v694mon;V694 Mon
0;V694MON;V694 Mon
0;V694Mon;V694 Mon
0;V694mon;V694 Mon
0;v694Mon;V694 Mon
0;V520Mon;V520 Mon
0;Z And;Z And
0;Nova Cas 2021;Nova Cas 2021
0;Hen 4-204;Hen 4-204
0;OMI Cet;omi Cet
0;DT Psc;DT Psc
0;DV Aur;DV Aur
0;HU21;Hu 2-1
0;WY Vel;WY Vel
0;Z AND;Z And
0;CN Cha;CN Cha
0;V648 Car;V648 Car
0;5 CET;no5no
0;GK Per;GK Per
0;GK PER;GK Per
0;STHa 190;StHA 190
0;V0407 CYG;V407 Cyg
0;V0471 PER;V471 Per
0;V0627 CAS;V627 Cas
0;GKPER;GK Per
0;V 648 Car;V648 Car
0;Nova Sgr 2023;Nova Sgr 2023
0;ZZ CMi;ZZ CMi
0;ZZ CMI;ZZ CMi
0;BK Vir;BK Vir
0;V957 Cen;V957 Cen
0;AR Pav;AR Pav
0;J17224490;Nova Sco 2023
0;PNV J17224490-4137160;Nova Sco 2023
0;Nova Sco 2023;Nova Sco 2023
0;V399 Pav;V399 Pav
0;AG_DRA;AG Dra
0;AG_PEG;AG Peg
0;BF_CYG;BF Cyg
0;CM AQL;CM Aql
0;delta sge;del Sge
0;DQ SER;DQ Ser
0;ERDEL;ER Del
0;V2523 OPH;V2523 Oph
0;Hen 4-129,Hen 4-129;
0;Omi Ceti;Omi Cet
0;STHA 154;StHA 154
0;STHA-154;StHA 154
0;STHa 154;StHA 154
0;StHa 154;StHA 154
0;StHA 154;StHA 154
0;StHA 164;StHA 164
0;StHa 169;StHA 169
0;StHA 180;StHA 180
0;V1329_Cyg;V1329 Cyg
0;V1329 CYG;V1329 Cyg
0;V343 Ser;V343 Ser
0;V407_Cyg;V407 Cyg
0;V0934 HER;V934 Her
0;V618 Sgr;V618 Sgr
0;V618_Sgr;V618 Sgr
0;V919 SGR;V919 Sgr
0;V919 Sgr;V919 Sgr
0;ZZ Cmi;ZZ CMi
0;AG_DRa;AG Dra
0;AG_Peg;AG Peg
0;BF_Cyg;BF Cyg
0;CH_Cyg;CH Cyg
0;CI_CYG;CI Cyg
0;DD Mic;DD Mic
0;ERDel;ER Del
0;Hen 4-129;Hen 4-129
0;o Cet;omi Cet
0;StHA 180;StHA 180
0;V1016_Cyg;V1016 Cyg
0;YY Her;YY Her
0;YYHer;YY Her
0;Z_AND;Z And
0;HD 153222;RW Hya
0;StHA180;StHA 180
0;StHA180;StHA 180
0;Z_And;Z And
0;v618 sgr;V618 Sgr
0;Omi Ceti;omi Cet
0;NovaSco2023;Nova Sco 2023
0;V618Sgr;V618 Sgr
0;Nova Men 2022;Nova Men 2022
0;AT 2024epj;AT 2024epj
0;tcrb-;T CrB
0;t crb-;T CrB
0;T CrB-;T CrB
0;Nova Oph 2024;Nova Oph 2024
0;AS201;AS 201
0;V695 Mon;V694 Mon
0;V694-Mon;V694 Mon
0;AS 201;AS 201
0;AS 210;AS 210
0;V694_Mon;V694 Mon
0;Nova LMC 2024b;Nova LMC 2024b
0;Nova Sco 2024;Nova Sco 2024
0;V1723_Sco;Nova Sco 2024
0;CL Sco;CL Sco
0;AS255;AS 255
